order_id,customer_id,order_date,order_value,payment_method,delivery_method
ORD_0080,CUST_007,2025-10-16 00:20:27.804591,3529.73,PIX,Delivery
ORD_0081,CUST_008,2025-04-03 00:20:27.804591,1851.53,Credit,Pickup
ORD_0082,CUST_008,2025-05-01 00:20:27.804591,1609.58,Credit,Delivery
ORD_0083,CUST_008,2025-06-05 00:20:27.804591,3078.6,Credit,Pickup
ORD_0084,CUST_008,2025-06-12 00:20:27.804591,1991.59,PIX,Pickup
ORD_0085,CUST_008,2025-06-19 00:20:27.804591,2244.76,Debit,Pickup
ORD_0086,CUST_008,2025-06-26 00:20:27.804591,793.92,Credit,Pickup
ORD_0087,CUST_008,2025-07-03 00:20:27.804591,1876.25,Cash,Pickup
ORD_0088,CUST_008,2025-07-24 00:20:27.804591,1913.56,PIX,Pickup
ORD_0089,CUST_008,2025-07-31 00:20:27.804591,2541.59,PIX,Delivery
ORD_0090,CUST_008,2025-08-07 00:20:27.804591,2387.1,Credit,Pickup
ORD_0091,CUST_008,2025-08-14 00:20:27.804591,2663.1,PIX,Delivery
ORD_0092,CUST_008,2025-08-21 00:20:27.804591,2449.34,Debit,Pickup
ORD_0093,CUST_008,2025-09-04 00:20:27.804591,1970.15,Cash,Delivery
ORD_0094,CUST_008,2025-09-11 00:20:27.804591,2916.2,Credit,Delivery
ORD_0095,CUST_008,2025-09-18 00:20:27.804591,1610.85,Debit,Delivery
ORD_0096,CUST_008,2025-09-25 00:20:27.804591,3050.89,Debit,Delivery
ORD_0097,CUST_008,2025-10-09 00:20:27.804591,2089.33,Debit,Pickup
ORD_0098,CUST_009,2025-04-03 00:20:27.804591,3098.8,Cash,Pickup
ORD_0099,CUST_009,2025-04-24 00:20:27.804591,3956.66,Credit,Pickup
ORD_0100,CUST_009,2025-05-01 00:20:27.804591,2184.35,PIX,Pickup
ORD_0101,CUST_009,2025-05-08 00:20:27.804591,3732.64,Debit,Pickup
ORD_0102,CUST_009,2025-05-15 00:20:27.804591,5184.96,Cash,Delivery
ORD_0103,CUST_009,2025-05-22 00:20:27.804591,4196.71,Credit,Pickup
ORD_0104,CUST_009,2025-05-29 00:20:27.804591,3487.29,Credit,Pickup
ORD_0105,CUST_009,2025-06-12 00:20:27.804591,2979.02,PIX,Pickup
ORD_0106,CUST_009,2025-06-19 00:20:27.804591,3998.39,Debit,Pickup
ORD_0107,CUST_009,2025-06-26 00:20:27.804591,4040.44,Debit,Delivery
ORD_0108,CUST_009,2025-07-03 00:20:27.804591,5604.89,PIX,Pickup
ORD_0109,CUST_009,2025-07-10 00:20:27.804591,3150.15,Debit,Delivery
ORD_0110,CUST_009,2025-07-17 00:20:27.804591,3049.92,Credit,Delivery
ORD_0111,CUST_009,2025-07-24 00:20:27.804591,2442.09,Cash,Delivery
ORD_0112,CUST_009,2025-07-31 00:20:27.804591,4560.48,Credit,Delivery
ORD_0113,CUST_009,2025-08-07 00:20:27.804591,4239.38,PIX,Pickup
ORD_0114,CUST_009,2025-08-14 00:20:27.804591,2556.86,Credit,Delivery
ORD_0115,CUST_009,2025-08-21 00:20:27.804591,4747.03,Credit,Pickup
ORD_0116,CUST_009,2025-08-28 00:20:27.804591,4126.12,Debit,Pickup
ORD_0117,CUST_009,2025-09-04 00:20:27.804591,2643.24,Cash,Delivery
ORD_0118,CUST_009,2025-09-11 00:20:27.804591,3908.44,PIX,Pickup
ORD_0119,CUST_009,2025-09-18 00:20:27.804591,2798.53,Credit,Pickup
ORD_0120,CUST_009,2025-09-25 00:20:27.804591,2589.43,Credit,Pickup
ORD_0121,CUST_009,2025-10-02 00:20:27.804591,4739.76,Cash,Pickup
ORD_0122,CUST_009,2025-10-09 00:20:27.804591,3764.16,Credit,Delivery
ORD_0123,CUST_009,2025-10-16 00:20:27.804591,3252.49,Debit,Pickup
ORD_0124,CUST_010,2025-04-03 00:20:27.804591,2867.65,PIX,Delivery
ORD_0125,CUST_010,2025-04-10 00:20:27.804591,3511.14,Credit,Delivery
ORD_0126,CUST_010,2025-04-17 00:20:27.804591,1889.99,Debit,Delivery
ORD_0127,CUST_010,2025-04-24 00:20:27.804591,3713.09,Credit,Pickup
ORD_0128,CUST_010,2025-05-01 00:20:27.804591,3293.74,PIX,Pickup
ORD_0129,CUST_010,2025-05-08 00:20:27.804591,3768.81,Cash,Pickup
ORD_0130,CUST_010,2025-05-15 00:20:27.804591,4635.9,Credit,Pickup
ORD_0131,CUST_010,2025-06-05 00:20:27.804591,2095.47,Cash,Delivery
ORD_0132,CUST_010,2025-06-12 00:20:27.804591,2817.15,PIX,Delivery
ORD_0133,CUST_010,2025-06-19 00:20:27.804591,3580.86,Cash,Delivery
ORD_0134,CUST_010,2025-06-26 00:20:27.804591,1123.95,PIX,Pickup
ORD_0135,CUST_010,2025-07-10 00:20:27.804591,2035.06,Debit,Pickup
ORD_0136,CUST_010,2025-07-17 00:20:27.804591,2295.52,Cash,Pickup
ORD_0137,CUST_010,2025-07-24 00:20:27.804591,2511.89,Debit,Delivery
ORD_0138,CUST_010,2025-07-31 00:20:27.804591,3356.05,Credit,Delivery
ORD_0139,CUST_010,2025-08-07 00:20:27.804591,2894.57,PIX,Delivery
ORD_0140,CUST_010,2025-08-14 00:20:27.804591,4663.33,PIX,Pickup
ORD_0141,CUST_010,2025-08-21 00:20:27.804591,3146.92,Debit,Delivery
ORD_0142,CUST_010,2025-08-28 00:20:27.804591,1946.45,Debit,Delivery
ORD_0143,CUST_010,2025-09-11 00:20:27.804591,4070.82,Cash,Pickup
ORD_0144,CUST_010,2025-09-18 00:20:27.804591,4274.7,Credit,Pickup
ORD_0145,CUST_010,2025-09-25 00:20:27.804591,2285.08,Cash,Pickup
ORD_0146,CUST_010,2025-10-02 00:20:27.804591,3402.07,Cash,Pickup
ORD_0147,CUST_010,2025-10-16 00:20:27.804591,2628.48,Debit,Pickup
ORD_0148,CUST_011,2025-04-03 00:20:27.804591,1406.42,Cash,Delivery
ORD_0149,CUST_011,2025-04-17 00:20:27.804591,1313.39,Cash,Pickup
ORD_0150,CUST_011,2025-04-24 00:20:27.804591,1210.13,PIX,Pickup
ORD_0151,CUST_011,2025-05-01 00:20:27.804591,1066.79,Debit,Pickup
ORD_0152,CUST_011,2025-05-08 00:20:27.804591,834.85,Credit,Pickup
ORD_0153,CUST_011,2025-05-15 00:20:27.804591,1098.18,Credit,Pickup
ORD_0154,CUST_011,2025-06-05 00:20:27.804591,2035.91,PIX,Delivery
ORD_0155,CUST_011,2025-06-12 00:20:27.804591,780.43,Cash,Pickup
ORD_0156,CUST_011,2025-06-19 00:20:27.804591,1438.94,Debit,Delivery
ORD_0157,CUST_011,2025-07-03 00:20:27.804591,1286.23,PIX,Pickup
ORD_0158,CUST_011,2025-07-10 00:20:27.804591,1335.85,PIX,Pickup
ORD_0159,CUST_011,2025-07-17 00:20:27.804591,1105.83,Cash,Delivery
ORD_0160,CUST_011,2025-08-07 00:20:27.804591,1513.66,PIX,Delivery
ORD_0161,CUST_011,2025-08-14 00:20:27.804591,1618.12,PIX,Delivery
ORD_0162,CUST_011,2025-09-04 00:20:27.804591,759.45,Debit,Pickup
ORD_0163,CUST_011,2025-09-11 00:20:27.804591,1599.43,Credit,Delivery
ORD_0164,CUST_011,2025-09-18 00:20:27.804591,1209.23,Debit,Pickup
ORD_0165,CUST_011,2025-10-02 00:20:27.804591,1414.99,Debit,Pickup
ORD_0166,CUST_011,2025-10-09 00:20:27.804591,1970.06,Credit,Delivery
ORD_0167,CUST_011,2025-10-16 00:20:27.804591,1638.95,Credit,Pickup
ORD_0168,CUST_012,2025-04-03 00:20:27.804591,4763.01,Credit,Pickup
ORD_0169,CUST_012,2025-04-24 00:20:27.804591,3669.96,Debit,Pickup
ORD_0170,CUST_012,2025-05-08 00:20:27.804591,4189.42,Cash,Delivery
ORD_0171,CUST_012,2025-06-05 00:20:27.804591,2012.62,PIX,Delivery
ORD_0172,CUST_012,2025-06-12 00:20:27.804591,3600.72,Debit,Delivery
ORD_0173,CUST_012,2025-06-19 00:20:27.804591,3135.86,PIX,Delivery
ORD_0174,CUST_012,2025-07-03 00:20:27.804591,3281.54,Debit,Delivery
ORD_0175,CUST_012,2025-07-24 00:20:27.804591,4348.59,Debit,Pickup
ORD_0176,CUST_012,2025-07-31 00:20:27.804591,4297.25,Credit,Delivery
ORD_0177,CUST_012,2025-08-14 00:20:27.804591,2833.27,Debit,Pickup
ORD_0178,CUST_012,2025-08-21 00:20:27.804591,2920.13,Debit,Delivery
ORD_0179,CUST_012,2025-08-28 00:20:27.804591,2485.69,Debit,Delivery
ORD_0180,CUST_012,2025-09-11 00:20:27.804591,3935.96,Credit,Pickup
ORD_0181,CUST_013,2025-04-17 00:20:27.804591,3102.88,PIX,Pickup
ORD_0182,CUST_013,2025-04-24 00:20:27.804591,1434.85,PIX,Pickup
ORD_0183,CUST_013,2025-06-05 00:20:27.804591,1725.62,PIX,Pickup
ORD_0184,CUST_013,2025-06-19 00:20:27.804591,2295.2,Debit,Delivery
ORD_0185,CUST_013,2025-07-03 00:20:27.804591,2672.28,Debit,Delivery
ORD_0186,CUST_013,2025-07-10 00:20:27.804591,2067.18,PIX,Pickup
ORD_0187,CUST_013,2025-07-17 00:20:27.804591,2221.66,Credit,Delivery
ORD_0188,CUST_013,2025-07-24 00:20:27.804591,1697.44,PIX,Delivery
ORD_0189,CUST_013,2025-08-07 00:20:27.804591,2433.76,Credit,Pickup
ORD_0190,CUST_013,2025-09-11 00:20:27.804591,3805.78,Cash,Pickup
ORD_0191,CUST_013,2025-09-18 00:20:27.804591,2789.82,Debit,Delivery
ORD_0192,CUST_013,2025-10-02 00:20:27.804591,3392.44,PIX,Delivery
ORD_0193,CUST_014,2025-04-10 00:20:27.804591,1060.91,Credit,Delivery
ORD_0194,CUST_014,2025-05-01 00:20:27.804591,850.15,Credit,Delivery
ORD_0195,CUST_014,2025-05-08 00:20:27.804591,1519.36,Cash,Pickup
ORD_0196,CUST_014,2025-06-05 00:20:27.804591,1202.44,Credit,Pickup
ORD_0197,CUST_014,2025-07-03 00:20:27.804591,882.41,Credit,Pickup
ORD_0198,CUST_014,2025-07-10 00:20:27.804591,1368.13,Debit,Delivery
ORD_0199,CUST_014,2025-08-21 00:20:27.804591,1312.63,PIX,Delivery
ORD_0200,CUST_015,2025-04-03 00:20:27.804591,248.96,Debit,Pickup
ORD_0201,CUST_015,2025-04-10 00:20:27.804591,348.22,Debit,Delivery
ORD_0202,CUST_015,2025-04-17 00:20:27.804591,131.71,Cash,Delivery
ORD_0203,CUST_015,2025-05-01 00:20:27.804591,372.31,Debit,Pickup
ORD_0204,CUST_015,2025-05-22 00:20:27.804591,287.68,PIX,Delivery
ORD_0205,CUST_015,2025-05-29 00:20:27.804591,255.83,PIX,Pickup
ORD_0206,CUST_015,2025-06-05 00:20:27.804591,163.33,PIX,Pickup
ORD_0207,CUST_015,2025-07-10 00:20:27.804591,220.32,Debit,Delivery
ORD_0208,CUST_015,2025-07-17 00:20:27.804591,198.63,Cash,Pickup
ORD_0209,CUST_015,2025-07-24 00:20:27.804591,354.38,PIX,Delivery
ORD_0210,CUST_015,2025-08-07 00:20:27.804591,342.24,Debit,Pickup
ORD_0211,CUST_015,2025-08-14 00:20:27.804591,300.13,Cash,Delivery
ORD_0212,CUST_015,2025-08-21 00:20:27.804591,279.13,PIX,Pickup
ORD_0213,CUST_015,2025-08-28 00:20:27.804591,340.3,Debit,Delivery
ORD_0214,CUST_015,2025-09-04 00:20:27.804591,362.76,PIX,Delivery
ORD_0215,CUST_015,2025-09-11 00:20:27.804591,302.05,Credit,Pickup
ORD_0216,CUST_015,2025-09-18 00:20:27.804591,209.19,PIX,Pickup
ORD_0217,CUST_015,2025-10-02 00:20:27.804591,333.51,PIX,Pickup
ORD_0218,CUST_015,2025-10-09 00:20:27.804591,243.34,Credit,Delivery
ORD_0219,CUST_016,2025-04-03 00:20:27.804591,1453.72,PIX,Pickup
ORD_0220,CUST_016,2025-04-10 00:20:27.804591,1348.41,Credit,Delivery
ORD_0221,CUST_016,2025-04-17 00:20:27.804591,2461.68,Credit,Pickup
ORD_0222,CUST_016,2025-05-01 00:20:27.804591,1214.22,Cash,Delivery
ORD_0223,CUST_016,2025-05-08 00:20:27.804591,1337.37,Cash,Pickup
ORD_0224,CUST_016,2025-05-22 00:20:27.804591,1858.13,PIX,Delivery
ORD_0225,CUST_016,2025-05-29 00:20:27.804591,1622.78,PIX,Pickup
ORD_0226,CUST_016,2025-06-05 00:20:27.804591,903.4,Cash,Delivery
ORD_0227,CUST_016,2025-06-19 00:20:27.804591,1505.87,PIX,Pickup
ORD_0228,CUST_016,2025-07-03 00:20:27.804591,1133.61,Cash,Pickup
ORD_0229,CUST_016,2025-07-10 00:20:27.804591,1771.47,Cash,Pickup
ORD_0230,CUST_016,2025-07-17 00:20:27.804591,1910.5,Debit,Delivery
ORD_0231,CUST_016,2025-07-31 00:20:27.804591,1697.92,Debit,Pickup
ORD_0232,CUST_016,2025-08-07 00:20:27.804591,2090.87,Cash,Delivery
ORD_0233,CUST_016,2025-08-21 00:20:27.804591,971.61,Credit,Delivery
ORD_0234,CUST_016,2025-08-28 00:20:27.804591,1327.52,PIX,Delivery
ORD_0235,CUST_016,2025-09-11 00:20:27.804591,1628.69,Credit,Delivery
ORD_0236,CUST_016,2025-09-18 00:20:27.804591,1263.33,Debit,Delivery
ORD_0237,CUST_016,2025-09-25 00:20:27.804591,1547.11,Credit,Pickup
ORD_0238,CUST_016,2025-10-02 00:20:27.804591,948.44,Debit,Pickup
ORD_0239,CUST_016,2025-10-09 00:20:27.804591,2519.93,PIX,Pickup
ORD_0240,CUST_016,2025-10-16 00:20:27.804591,1907.14,PIX,Pickup
ORD_0241,CUST_017,2025-04-10 00:20:27.804591,1082.74,Cash,Pickup
ORD_0242,CUST_017,2025-04-24 00:20:27.804591,1058.33,Cash,Pickup
ORD_0243,CUST_017,2025-05-01 00:20:27.804591,1224.93,PIX,Delivery
ORD_0244,CUST_017,2025-05-08 00:20:27.804591,1277.21,Debit,Pickup
ORD_0245,CUST_017,2025-05-15 00:20:27.804591,1084.44,Credit,Delivery
ORD_0246,CUST_017,2025-06-05 00:20:27.804591,1107.59,Cash,Delivery
ORD_0247,CUST_017,2025-06-26 00:20:27.804591,810.27,Debit,Pickup
ORD_0248,CUST_017,2025-07-17 00:20:27.804591,1603.92,Credit,Pickup
ORD_0249,CUST_017,2025-07-24 00:20:27.804591,1234.29,Credit,Pickup
ORD_0250,CUST_017,2025-10-02 00:20:27.804591,1542.69,Cash,Pickup
ORD_0251,CUST_018,2025-04-03 00:20:27.804591,2191.63,PIX,Delivery
ORD_0252,CUST_018,2025-04-17 00:20:27.804591,1898.85,Debit,Delivery
ORD_0253,CUST_018,2025-04-24 00:20:27.804591,1717.57,Debit,Pickup
ORD_0254,CUST_018,2025-05-01 00:20:27.804591,1604.55,Credit,Delivery
ORD_0255,CUST_018,2025-05-22 00:20:27.804591,3624.56,PIX,Pickup
ORD_0256,CUST_018,2025-06-12 00:20:27.804591,2536.84,Credit,Delivery
ORD_0257,CUST_018,2025-06-19 00:20:27.804591,3322.7,Debit,Pickup
ORD_0258,CUST_018,2025-07-24 00:20:27.804591,2695.2,Credit,Pickup
ORD_0259,CUST_018,2025-07-31 00:20:27.804591,2473.79,Debit,Pickup
ORD_0260,CUST_018,2025-08-07 00:20:27.804591,3106.26,Debit,Pickup
ORD_0261,CUST_018,2025-08-14 00:20:27.804591,2226.96,Cash,Delivery
ORD_0262,CUST_018,2025-08-28 00:20:27.804591,2508.37,Cash,Delivery
ORD_0263,CUST_018,2025-09-04 00:20:27.804591,3041.42,Cash,Delivery
ORD_0264,CUST_018,2025-09-11 00:20:27.804591,1995.97,PIX,Delivery
ORD_0265,CUST_018,2025-09-25 00:20:27.804591,2926.41,Cash,Delivery
ORD_0266,CUST_018,2025-10-02 00:20:27.804591,1392.8,Cash,Delivery
ORD_0267,CUST_018,2025-10-09 00:20:27.804591,3326.7,Credit,Pickup
ORD_0268,CUST_018,2025-10-16 00:20:27.804591,3538.86,PIX,Delivery
ORD_0269,CUST_019,2025-04-10 00:20:27.804591,2251.2,PIX,Pickup
ORD_0270,CUST_019,2025-04-17 00:20:27.804591,2077.03,Cash,Delivery
ORD_0271,CUST_019,2025-04-24 00:20:27.804591,2285.1,Cash,Delivery
ORD_0272,CUST_019,2025-05-01 00:20:27.804591,1937.34,Credit,Pickup
ORD_0273,CUST_019,2025-05-08 00:20:27.804591,1944.52,Credit,Pickup
ORD_0274,CUST_019,2025-05-15 00:20:27.804591,2279.16,Debit,Delivery
ORD_0275,CUST_019,2025-05-22 00:20:27.804591,1978.42,PIX,Delivery
ORD_0276,CUST_019,2025-05-29 00:20:27.804591,1667.81,Credit,Delivery
ORD_0277,CUST_019,2025-06-05 00:20:27.804591,1263.02,Credit,Delivery
ORD_0278,CUST_019,2025-06-26 00:20:27.804591,1018.14,Credit,Delivery
ORD_0279,CUST_019,2025-07-03 00:20:27.804591,1921.09,Debit,Pickup
ORD_0280,CUST_019,2025-07-24 00:20:27.804591,1450.53,Cash,Pickup
ORD_0281,CUST_019,2025-08-28 00:20:27.804591,1684.2,PIX,Delivery
ORD_0282,CUST_019,2025-09-04 00:20:27.804591,1531.08,Credit,Pickup
ORD_0283,CUST_019,2025-09-11 00:20:27.804591,1366.31,PIX,Pickup
ORD_0284,CUST_019,2025-10-02 00:20:27.804591,1713.62,Cash,Delivery
ORD_0285,CUST_019,2025-10-09 00:20:27.804591,1574.46,Debit,Pickup
ORD_0286,CUST_019,2025-10-16 00:20:27.804591,2691.08,Cash,Pickup
ORD_0287,CUST_020,2025-04-03 00:20:27.804591,2124.74,Debit,Pickup
ORD_0288,CUST_020,2025-04-10 00:20:27.804591,3645.19,PIX,Pickup
ORD_0289,CUST_020,2025-04-24 00:20:27.804591,1930.17,PIX,Pickup
ORD_0290,CUST_020,2025-05-01 00:20:27.804591,856.23,PIX,Pickup
ORD_0291,CUST_020,2025-05-08 00:20:27.804591,2826.13,PIX,Delivery
ORD_0292,CUST_020,2025-05-22 00:20:27.804591,2028.47,Debit,Delivery
ORD_0293,CUST_020,2025-05-29 00:20:27.804591,2470.89,Debit,Pickup
ORD_0294,CUST_020,2025-06-05 00:20:27.804591,4211.56,PIX,Pickup
ORD_0295,CUST_020,2025-06-26 00:20:27.804591,1928.53,Credit,Pickup
ORD_0296,CUST_020,2025-07-10 00:20:27.804591,2884.36,Credit,Delivery
ORD_0297,CUST_020,2025-07-17 00:20:27.804591,3358.68,Debit,Delivery
ORD_0298,CUST_020,2025-07-24 00:20:27.804591,3809.13,Credit,Pickup
ORD_0299,CUST_020,2025-07-31 00:20:27.804591,2118.02,Credit,Delivery
ORD_0300,CUST_020,2025-08-28 00:20:27.804591,1879.6,Credit,Pickup
ORD_0301,CUST_020,2025-09-04 00:20:27.804591,728.44,Cash,Pickup
ORD_0302,CUST_020,2025-09-11 00:20:27.804591,1711.22,Credit,Pickup
ORD_0303,CUST_020,2025-10-02 00:20:27.804591,1670.4,Debit,Pickup
ORD_0304,CUST_020,2025-10-16 00:20:27.804591,2701.15,Credit,Pickup
ORD_0305,CUST_021,2025-04-17 00:20:27.804591,2147.83,Credit,Pickup
ORD_0306,CUST_021,2025-05-01 00:20:27.804591,2441.22,PIX,Pickup
ORD_0307,CUST_021,2025-05-08 00:20:27.804591,1675.81,Debit,Pickup
ORD_0308,CUST_021,2025-05-22 00:20:27.804591,1903.84,Credit,Pickup
ORD_0309,CUST_021,2025-05-29 00:20:27.804591,4018.51,Cash,Delivery
ORD_0310,CUST_021,2025-06-12 00:20:27.804591,2954.34,Credit,Pickup
ORD_0311,CUST_021,2025-06-19 00:20:27.804591,4779.48,PIX,Delivery
ORD_0312,CUST_021,2025-07-10 00:20:27.804591,1644.07,Cash,Delivery
ORD_0313,CUST_021,2025-07-24 00:20:27.804591,3650.87,Cash,Pickup
ORD_0314,CUST_021,2025-07-31 00:20:27.804591,2288.66,Cash,Pickup
ORD_0315,CUST_021,2025-08-07 00:20:27.804591,1640.95,PIX,Pickup
ORD_0316,CUST_021,2025-08-14 00:20:27.804591,3478.52,PIX,Delivery
ORD_0317,CUST_021,2025-09-04 00:20:27.804591,3015.7,Cash,Pickup
ORD_0318,CUST_021,2025-09-11 00:20:27.804591,3260.38,PIX,Pickup
ORD_0319,CUST_021,2025-09-25 00:20:27.804591,3019.57,Credit,Delivery
ORD_0320,CUST_021,2025-10-02 00:20:27.804591,815.46,PIX,Pickup
ORD_0321,CUST_021,2025-10-09 00:20:27.804591,1608.93,Credit,Delivery
ORD_0322,CUST_021,2025-10-16 00:20:27.804591,1997.08,Debit,Pickup
ORD_0323,CUST_022,2025-04-10 00:20:27.804591,2892.21,Debit,Pickup
ORD_0324,CUST_022,2025-04-17 00:20:27.804591,2819.08,PIX,Pickup
ORD_0325,CUST_022,2025-04-24 00:20:27.804591,1448.89,Debit,Pickup
